title,authors,source,year,citations no.
Efficient pattern recognition using a new transformation distance,"P Simard, Y LeCun, JS Denker",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:d1gkVwhDpl0C,1992,726
Learning convolutional feature hierarchies for visual recognition,"K Kavukcuoglu, P Sermanet, YL Boureau, K Gregor, M Mathieu, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:mB3voiENLucC,2010,686
"LeNet-5, convolutional neural networks",Y LeCun,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:cFHS6HbyZ2cC,2015,681
Text understanding from scratch,"X Zhang, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:srBcWmd28BQC,2015,666
MNIST handwritten digit database. 2010,"Y LeCun, C Cortes, CJ Burges",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:Jxy3h8XkNu0C,2010,640
Fast Training of Convolutional Networks through FFTs,"M Mathieu, M Henaff, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:RPps9qLA3-kC,2014,619
Convolutional neural networks applied to house numbers digit classification,"P Sermanet, S Chintala, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:QyXJ3EUuO1IC,2012,603
Une procédure d'apprentissage pour réseau à seuil asymétrique (A learning scheme for asymmetric threshold networks),Y LeCun,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:WqliGbK-hY8C,1985,600
Measuring the VC-dimension of a learning machine,"V Vapnik, E Levin, Y Le Cun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:YsrPvlHIBpEC,1994,582
Off-road obstacle avoidance through end-to-end learning,"Y LeCun, U Muller, J Ben, E Cosatto, B Flepp",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:3fE2CSJIrl8C,2006,581
