title,case,year,source,citations no.
Susinno v. Work Out World Inc.,"862 F. 3d 346 - Court of Appeals, 3rd Circuit",2017,https://scholar.google.com/scholar_case?case=14669561784396410684&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,146
"Hancock v. Urban Outfitters, Inc.","830 F. 3d 511 - Court of Appeals, Dist. of Columbia Circuit",2016,https://scholar.google.com/scholar_case?case=15056030823289907743&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,145
State v. Andrews,"134 A. 3d 324, 227 Md. App. 350 - Md: Court of Special Appeals",2016,https://scholar.google.com/scholar_case?case=1497704794265970679&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,145
Evancho v. PINE-RICHLAND SCHOOL DIST.,"237 F. Supp. 3d 267 - Dist. Court, WD Pennsylvania",2017,https://scholar.google.com/scholar_case?case=17675559125282084520&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,143
Supreme Court Advocates-on-Record Association v. Union of India,"5 SCC 1 ",2016,,139
US v. Lara,"815 F. 3d 605 - Court of Appeals, 9th Circuit",2016,https://scholar.google.com/scholar_case?case=11647844797839194724&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,137
DOE BY & THROUGH DOE v. Boyertown Area School Dist.,"897 F. 3d 518 - Court of Appeals, 3rd Circuit",2018,https://scholar.google.com/scholar_case?case=3022724147282446357&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,135
"Cullinane v. Uber Technologies, Inc.","893 F. 3d 53 - Court of Appeals, 1st Circuit",2018,https://scholar.google.com/scholar_case?case=7036612042174232287&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,133
Bd. of Educ. of Highland v. US Dept. of Educ.,"208 F. Supp. 3d 850 - Dist. Court, SD Ohio",2016,https://scholar.google.com/scholar_case?case=16771912502870998195&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,133
"Van Hollen, Jr. v. FEDERAL ELECTION COM'N","811 F. 3d 486 - Court of Appeals, Dist. of Columbia Circuit",2016,https://scholar.google.com/scholar_case?case=7868527839832731074&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,133
Zean v. Fairview Health Services,"858 F. 3d 520 - Court of Appeals, 8th Circuit",2017,https://scholar.google.com/scholar_case?case=12275295851124542196&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,132
US v. Kolsuz,"890 F. 3d 133 - Court of Appeals, 4th Circuit",2018,https://scholar.google.com/scholar_case?case=150597407311153261&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,128
"LabMD, Inc. v. FTC","894 F. 3d 1221 - Court of Appeals, 11th Circuit",2018,https://scholar.google.com/scholar_case?case=4783887120473421355&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,128
Perry v. State,78 NE 3d 1 - Ind: Court of Appeals,2017,https://scholar.google.com/scholar_case?case=6131226651037469938&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,128
United States v. Johnson,"2016 WL 6136586 ",2016,,128
Williams v. Secretary PA Dept. of Corrections,"848 F. 3d 549 - Court of Appeals, 3rd Circuit",2017,https://scholar.google.com/scholar_case?case=3249096014871480769&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,126
In re JE,"1 Cal. App. 5th 795, 205 Cal. Rptr. 3d… - Cal: Court of Appeal, 1st…",2016,https://scholar.google.com/scholar_case?case=5594032242656728525&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,124
US v. Horton,"863 F. 3d 1041 - Court of Appeals, 8th Circuit",2017,https://scholar.google.com/scholar_case?case=10939178368739262902&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,122
Hancock v. County of Rensselaer,"882 F. 3d 58 - Court of Appeals, 2nd Circuit",2018,https://scholar.google.com/scholar_case?case=695967912946649943&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,118
Holland v. City of New York,"197 F. Supp. 3d 529 - Dist. Court, SD New York",2016,https://scholar.google.com/scholar_case?case=5294166013721717379&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,118
In re Facebook Biometric Info. Privacy Litigation,"185 F. Supp. 3d 1155 - Dist. Court, ND California",2016,https://scholar.google.com/scholar_case?case=8602123084903795844&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,117
ELECTRONIC PRIVACY INFO. v. PRESIDENTIAL ADVISORY,"878 F. 3d 371 - Court of Appeals, Dist. of Columbia Circuit",2017,https://scholar.google.com/scholar_case?case=3275516297154824209&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,115
AMERICAN IMM. LAWYERS v. EX. OFFICE FOR IMM. REV.,"830 F. 3d 667 - Court of Appeals, Dist. of Columbia Circuit",2016,https://scholar.google.com/scholar_case?case=11284230138804506410&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,115
"Gubala v. Time Warner Cable, Inc.","846 F. 3d 909 - Court of Appeals, 7th Circuit",2017,https://scholar.google.com/scholar_case?case=11752649952035053171&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,115
"Alexander v. Verizon Wireless Services, LLC","875 F. 3d 243 - Court of Appeals, 5th Circuit",2017,https://scholar.google.com/scholar_case?case=7425162754224433951&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,115
Jackson v. Mayweather,"10 Cal. App. 5th 1240, 217 Cal. Rptr. 3d… - Cal: Court of Appeal, 2nd…",2017,https://scholar.google.com/scholar_case?case=16523278297087044157&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,114
Brown v. Perez,"835 F. 3d 1223 - Court of Appeals, 10th Circuit",2016,https://scholar.google.com/scholar_case?case=4157477291472844983&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,112
Franchise Tax Bd. of California v. Hyatt,"136 S. Ct. 1277, 578 US __, 194 L. Ed. 2d 431 - Supreme Court",2016,https://scholar.google.com/scholar_case?case=3851908372433852738&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,112
"Los Angeles Lakers, Inc. v. Federal Ins. Co.","869 F. 3d 795 - Court of Appeals, 9th Circuit",2017,https://scholar.google.com/scholar_case?case=18184885125520544742&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,108
People v. Nachbar,"3 Cal. App. 5th 1122, 207 Cal. Rptr. 3d… - Cal: Court of Appeal, 4th…",2016,https://scholar.google.com/scholar_case?case=4622767606527478856&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,108
City of San Jose v. Superior Court,"389 P. 3d 848, 2 Cal. 5th 608, 214 Cal. Rptr. 3d… - Cal: Supreme…",2017,https://scholar.google.com/scholar_case?case=9671427103186697222&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,107
US v. Touset,"890 F. 3d 1227 - Court of Appeals, 11th Circuit",2018,https://scholar.google.com/scholar_case?case=14057259853255218223&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,106
US v. Houston,"813 F. 3d 282 - Court of Appeals, 6th Circuit",2016,https://scholar.google.com/scholar_case?case=14978032192938092138&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,103
Hall v. McRaven,508 SW 3d 232 - Tex: Supreme Court,2017,https://scholar.google.com/scholar_case?case=5641761189248244592&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,101
Parchman v. SLM Corp.,"896 F. 3d 728 - Court of Appeals, 6th Circuit",2018,https://scholar.google.com/scholar_case?case=9773007456886998631&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,101
PLANNED PARENTHOOD OF INDIANA v. Commissioner,"888 F. 3d 300 - Court of Appeals, 7th Circuit",2018,https://scholar.google.com/scholar_case?case=9368399730965027648&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,99
R v. Marakah,"2017 SCC 59 ",2017,,99
People v. Garcia,"391 P. 3d 1153, 2 Cal. 5th 792, 216 Cal. Rptr… - Cal: Supreme…",2017,https://scholar.google.com/scholar_case?case=4056130396439040009&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,98
Holland v. Rosen,"895 F. 3d 272 - Court of Appeals, 3rd Circuit",2018,https://scholar.google.com/scholar_case?case=6677351843258820963&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,98
MAB v. Bd. of Educ. of Talbot County,"286 F. Supp. 3d 704 - Dist. Court, D. Maryland",2018,https://scholar.google.com/scholar_case?case=15059032119555522419&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,97
"hiQ Labs, Inc. v. LinkedIn Corp.","273 F. Supp. 3d 1099 - Dist. Court, ND California",2017,https://scholar.google.com/scholar_case?case=6463501451708355118&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,97
Long v. Southeastern Pennsylvania Transp. Authority,"903 F. 3d 312 - Court of Appeals, 3rd Circuit",2018,https://scholar.google.com/scholar_case?case=12805013473398645531&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,96
"Eichenberger v. ESPN, Inc.","876 F. 3d 979 - Court of Appeals, 9th Circuit",2017,https://scholar.google.com/scholar_case?case=2569370165567802813&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,95
"Thomas v. FTS USA, LLC","193 F. Supp. 3d 623 - Dist. Court, ED Virginia",2016,https://scholar.google.com/scholar_case?case=9935331370155999195&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,94
Naperville Smart Meter v. City of Naperville,"900 F. 3d 521 - Court of Appeals, 7th Circuit",2018,https://scholar.google.com/scholar_case?case=14792798358412906268&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,91
McNeil-Marks v. MIDMICHIGAN MED. CTR.,"891 NW 2d 528, 316 Mich. App. 1 - Mich: Court of Appeals",2016,https://scholar.google.com/scholar_case?case=4344781534142739961&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,90
MetLife v. Financial Stability Oversight Council,"865 F. 3d 661 - Court of Appeals, Dist. of Columbia Circuit",2017,https://scholar.google.com/scholar_case?case=678860703217294428&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,89
US v. Matish,"193 F. Supp. 3d 585 - Dist. Court, ED Virginia",2016,https://scholar.google.com/scholar_case?case=11490024024467065990&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,89
Carcaño v. McCrory,"203 F. Supp. 3d 615 - Dist. Court, MD North Carolina",2016,https://scholar.google.com/scholar_case?case=4273816402835339221&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,88
Meyer v. Kalanick,"200 F. Supp. 3d 408 - Dist. Court, SD New York",2016,https://scholar.google.com/scholar_case?case=1706538729735819460&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,88
State v. Rodriguez,521 SW 3d 1 - Tex: Court of Criminal Appeals,2017,https://scholar.google.com/scholar_case?case=926324703392168288&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,86
In re Yahoo! Inc. Customer Data Sec. Breach Litig,"2017 WL 3727318 ",2017,,85
State v. Perry,"137 A. 3d 1130, 225 NJ 222 - NJ: Supreme Court",2016,https://scholar.google.com/scholar_case?case=1766138810983011727&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,85
Belleau v. Wall,"811 F. 3d 929 - Court of Appeals, 7th Circuit",2016,https://scholar.google.com/scholar_case?case=14839412136657246385&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,83
McQueen v. Gadberry,"507 SW 3d 127 - Mo: Court of Appeals, Eastern Dist., 3rd Div.",2016,https://scholar.google.com/scholar_case?case=7601031780933934433&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,83
State v. Thompson,886 NW 2d 224 - Minn: Supreme Court,2016,https://scholar.google.com/scholar_case?case=8892293749076230342&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,82
Rivera v. Google Inc.,"238 F. Supp. 3d 1088 - Dist. Court, ND Illinois",2017,https://scholar.google.com/scholar_case?case=14457227830664707660&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,82
State v. Holt,"368 P. 3d 409, 2016 NMSC 11 - NM: Supreme Court",2016,https://scholar.google.com/scholar_case?case=501108537404612502&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,82
Anasazi v. United States,"2017 WL 2264441 ",2017,,80
